Mineral,UNIT,2019-20,,2020-21,,2021-22,,2022-23,,2023-24,,2024-25,
,,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
Bauxite,TONNE," 2,18,25,227","     1,62,99,333"," 2,03,80,548","     1,67,93,447"," 2,24,94,049","        2,52,84,168"," 2,38,44,337","        2,73,71,722"," 2,39,25,514","        2,56,51,109"," 2,47,05,314","        2,80,76,812"
Chromite,TONNE,"    39,29,260","     3,21,34,395","    28,30,413","     2,18,62,796","    37,85,625","        4,79,69,166","    35,57,289","        4,66,33,415","    31,47,954","        4,86,14,248","    30,26,273","        4,55,61,598"
Copper Ores & Conc.,TONNE,"      4,077,058","        84,48,405","      3,381,633","        85,33,354","3,68,945","        1,10,24,312","      3,439,082","        1,02,08,275","      3,907,486","        1,29,94,753","      3,662,023","        1,18,10,755"
Gold Ore,TONNE,"      5,95,511",                     -  ,"      4,37,669",                     -  ,"      4,74,994",                        -  ,"      6,32,811",                        -  ,"      7,60,255",                        -  ,"      7,02,975",                        -  
Gold Primary,KG,"           1,742","        64,95,723","           1,127","        54,75,470","           1,407","           67,61,018","           1,433","           76,54,672","           1,586","           96,54,301","           1,627","        1,25,51,045"
Iron Ore,THT,"      2,44,083","   49,64,30,578","      2,05,042","   52,72,92,469","      2,54,099","   1,00,82,60,000","      2,58,312","      83,40,01,723","      2,77,339","      99,65,79,911","      2,89,395","   1,03,25,85,636"
Lead & Zinc Ore,TONNE," 1,44,79,032",                     -  ," 1,54,55,342",                     -  ," 1,63,38,564",                        -  ," 1,67,44,082",                        -  ," 1,65,21,320",                        -  ," 1,66,69,527",                        -  
Lead Concentrate,TONNE,"      3,51,746","     1,82,60,832","      3,76,923","     1,88,10,483","      3,68,040","        2,20,25,747","      3,76,665","        2,44,88,505","      3,80,795","        2,54,73,578","      3,92,551","        2,88,13,077"
Manganese Ore,TONNE,"    29,10,186","     1,88,49,100","    27,03,313","     1,74,15,460","    26,92,408","        2,20,67,826","    28,26,964","        2,28,22,578","    34,41,764","        2,49,84,809","    38,01,506","        2,98,68,284"
Silver,KG,"      6,09,340","     2,56,16,104","      7,05,796","     4,26,64,424","      6,47,156","        4,21,26,921","      7,13,768","        4,38,14,376","      7,45,980","        5,35,59,386","      6,91,384","        5,93,80,181"
Tin Concentrate,KG,"         15,530","             10,337","         16,865","             10,413","         26,301","                32,619","         45,444","                52,327","         22,345","                18,269","           9,262","                10,173"
Zinc Concentrate,TONNE,"    14,46,824","     6,04,38,504","    15,13,996","     6,31,27,101","    15,94,085","        7,87,27,813","    16,70,208","        9,12,19,638","    17,10,141","        8,56,54,289","    17,21,521","      10,00,86,963"
Metallic Mineral,, ** ,"  68,29,83,311.00", ** ,"  72,19,85,416.31", ** ,"  1,26,42,79,589.98", ** ,"  1,10,82,67,230.55", ** ,"  1,28,31,84,653.67", ** ,"  1,34,87,44,522.29"
Apatite,TONNE,                 -  ,                     -  ,                 -  ,                     -  ,                 -  ,                        -  ,,,,,,
Diamond,CARATS,"         28,816","          3,52,472","         13,917","          1,47,696",              266,"                18,051",              388,"                61,473",              347,"                23,737","           4,846","             3,28,260"
Fluorite (Graded),TONNE,"           1,315","               8,844","           1,052","               8,018","           1,237","                  9,430","           1,155","                  6,224","           6,043","                  6,143","           1,119","                  3,245"
Garnet,TONNE,              568,"               1,775","           7,114","             26,378","           8,182","                24,660","           9,859","                36,217","         23,835","                94,901","         52,010","             1,94,254"
Graphite(Natural),TONNE,"         34,674","             55,907","         35,386","             87,147","         62,888","             1,22,148","         94,789","             1,80,152","      1,69,080","             2,18,403","         85,329","             1,33,163"
Iolite,KG,                90,                  579,                16,                    73,                27,                     191,                 -  ,                        -  ,                 -  ,                        -  ,,                        -  
Kyanite,TONNE,"           3,498","             12,728","           4,925","               9,251","           9,320","                17,267","           2,765","                  5,320","           3,324","                  8,036","           2,055","                  5,445"
Limeshell,TONNE,"           4,600","             18,730",                 -  ,                     -  ,              100,                     231,              250,                     656,              891,"                  2,639",              380,"                  1,112"
Limestone,THT,"      3,59,464","     8,88,90,081","      3,49,120","     8,64,84,125","      3,92,034","      10,20,22,623","      4,05,664","      11,20,12,598","      4,51,045","      12,35,75,876","      4,49,581","      11,86,35,050"
Magnesite,TONNE,"      1,02,554","          3,51,947","         74,661","          3,14,677","      1,13,497","             5,54,771","      1,07,525","             5,02,587","      1,32,005","             6,08,866","      1,10,037","             4,96,440"
Marl,TONNE,"    21,48,854","          4,12,464","    22,16,414","          4,17,183","    18,53,482","             3,83,279","    14,61,668","             3,16,762","    16,06,380","             3,37,583","    20,49,340","             4,48,695"
Moulding Sand,TONNE,"         12,905","               3,766","         14,363","               4,150","         17,583","                  5,256","         17,260","                  5,373","         20,994","                  6,505","         13,582","                  4,510"
Phosphorite,TONNE,"    14,00,189","        47,31,314","    14,55,829","        46,94,525","    13,94,959","           66,48,070","    19,78,450","        1,23,54,618","    15,57,783","        1,14,36,102","    18,05,914","        1,21,40,360"
Rock Salt,TONNE,              130,"               1,447",              486,"             14,156",              286,                     712,"           1,002","                  4,849",,                        -  ,                 -  ,                        -  
Selenite,TONNE,"           2,154","               4,206",              402,                  602,              716,                     902,              327,                     442,"           9,353","                13,810","         10,796","                16,708"
Siliceous Earth,TONNE,"         19,367","             11,710","         23,823","             14,686","         33,898","                22,837","         32,070","                17,360","         58,047","                33,412","         55,603","                37,237"
Sillimanite,TONNE,"         13,221","             37,903","         11,110","             13,987","           3,432","                  8,000","           1,437","                  3,757",              771,"                  2,307",              326,"                  1,022"
Vermiculite,TONNE,"           2,774","               3,347","           1,260","               2,157","           3,060","                  3,765","           2,303","                  1,610","           1,129",                     731,"           2,736","                  1,687"
Wollastonite,TONNE,"      1,24,757","          1,39,695","      1,03,902","          1,22,210","      1,08,335","             1,49,156","      1,10,793","             1,51,761","      1,10,637","             1,56,133","      1,24,052","             4,96,419"
Non-Metallic Mineral,, ** ,"          9,50,38,915", ** ,"          9,23,61,022", ** ,"            10,99,91,350", ** ,"            12,56,61,759", ** ,"            13,65,25,183", ** ,"            13,29,43,606"
Grand Total,, ** ,"        77,80,22,226", ** ,"        81,43,46,438", ** ,"        1,37,42,70,940", ** ,"        1,23,39,28,989", ** ,"        1,41,97,09,837", ** ,"        1,48,16,88,129"
